NIA,Nombre,Apellido1,Apellido2,Grupo,Teléfono alumno,Teléfono Madre,Teléfono Padre,Correo alumno,Correo Madre,Correo Padre
10707229,Nombre1,Apellido1-1,Apellido2-1,1CFB,639203062,679673437,619808881,Nombre1@gmail.com,Apellido2-1@yahoo.es,Apellido1-1@hotmail.com
10495408,Nombre2,Apellido1-2,Apellido2-2,2CFMI,657394736,692433044,652488800,,Apellido2-2@yahoo.es,Apellido1-2@hotmail.com
10797691,Nombre3,Apellido1-3,Apellido2-3,1CFB,606838929,655937878,657835754,Nombre3@gmail.com,,Apellido1-3@hotmail.com
10296512,Nombre4,Apellido1-4,Apellido2-4,1CFMI,672404222,627370972,678676647,Nombre4@gmail.com,Apellido2-4@yahoo.es,
10244150,Nombre5,Apellido1-5,Apellido2-5,2CFMA,667789574,608902916,615834405,Nombre5@gmail.com,,
10312361,Nombre6,Apellido1-6,Apellido2-6,1CFMI,673264700,616517236,616517274,Nombre6@gmail.com,Apellido2-6@yahoo.es,Apellido1-6@hotmail.com
10379020,Nombre7,Apellido1-7,Apellido2-7,2CFMI,645185578,,645185578,Nombre7@gmail.com,Apellido2-7@yahoo.es,Apellido1-7@hotmail.com
10409488,Nombre8,Apellido1-8,Apellido2-8,2CFMISP,691486931,691486931,692685267,Nombre8@gmail.com,Apellido2-8@yahoo.es,Apellido1-8@hotmail.com
10646438,Nombre9,Apellido1-9,Apellido2-9,2CFB,635869740,678290748,,,Apellido2-9@yahoo.es,Apellido1-9@hotmail.com
10370835,Nombre10,Apellido1-10,Apellido2-10,2CFMA,601312713,653820595,,,Apellido2-10@yahoo.es,Apellido1-10@hotmail.com
11875160,Nombre11,Apellido1-11,Apellido2-11,1CFSA,651118369,667204807,,Nombre11@gmail.com,Apellido2-11@yahoo.es,Apellido1-11@hotmail.com
10495550,Nombre12,Apellido1-12,Apellido2-12,2CFMA,678132895,676924120,,,Apellido2-12@yahoo.es,Apellido1-12@hotmail.com
